id_cliente;abandono_cliente;genero;jubilado;pareja;dependientes;meses_antiguedad;servicio_telefono;ad.multiples_lineas;servicio_internet;ad.seguridad_online;ad.respaldo_online;ad.proteccion_dispositivo;ad.soporte_tecnico;tv.streaming;peliculas.streaming;contrato;factura_digital;metodo_pago;cargo.diario;cargo.mensual;cargo.total
0042-RLHYP;No;Femenino;False;Si;Si;69;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);0.65;19.7;1396.9
0047-ZHDTW;No;Femenino;False;No;No;11;Si;Si;Fibra óptica;Si;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);2.6;79.0;929.3
0048-LUMLS;No;Masculino;False;Si;Si;37;Si;No;Fibra óptica;No;No;No;No;Si;Si;Un año;No;Tarjeta de crédito (automática);3.0;91.2;3247.55
0048-PIHNL;No;Femenino;False;Si;No;49;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Transferencia bancaria (automática);0.67;20.45;900.9
0052-DCKON;No;Masculino;False;Si;No;66;Si;Si;Fibra óptica;Si;Si;Si;Si;Si;Si;Un año;No;Transferencia bancaria (automática);3.81;115.8;7942.15
0052-YNYOT;No;Femenino;False;No;No;67;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Cheque electrónico;0.68;20.55;1343.4
0056-EPFBG;No;Masculino;False;Si;Si;20;No;Sin servicio telefónico;DSL;Si;No;Si;Si;No;No;Dos años;Si;Tarjeta de crédito (automática);1.3;39.4;825.4
0057-QBUQH;No;Femenino;False;No;Si;43;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Cheque electrónico;0.8300000000000001;25.1;1070.15
0058-EVZWM;No;Femenino;False;Si;No;55;Si;Si;Fibra óptica;Si;No;No;No;Si;No;Mes a mes;Si;Transferencia bancaria (automática);2.95;89.8;4959.6
0060-FUALY;No;Femenino;False;Si;No;59;Si;Si;Fibra óptica;Si;Si;No;No;Si;No;Mes a mes;Si;Cheque electrónico;3.12;94.75;5597.65
0064-SUDOG;No;Femenino;False;Si;Si;12;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Transferencia bancaria (automática);0.67;20.3;224.5
0064-YIJGF;No;Masculino;False;Si;Si;27;Si;Si;Fibra óptica;No;No;No;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);2.49;75.75;1929.0
0067-DKWBL;Si;Masculino;True;No;No;2;Si;No;DSL;Si;No;No;No;No;No;Mes a mes;Si;Cheque electrónico;1.62;49.25;91.1
0068-FIGTF;No;Femenino;False;No;No;27;Si;No;DSL;No;Si;Si;Si;Si;Si;Un año;No;Cheque por correo;2.5700000000000003;78.2;2078.95
0071-NDAFP;No;Masculino;False;Si;Si;25;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);0.84;25.5;630.6
0074-HDKDG;No;Masculino;False;Si;Si;25;Si;No;DSL;Si;Si;Si;No;No;No;Un año;Si;Transferencia bancaria (automática);2.03;61.6;1611.0
0076-LVEPS;No;Masculino;False;No;Si;29;No;Sin servicio telefónico;DSL;Si;Si;Si;Si;No;No;Mes a mes;Si;Cheque por correo;1.48;45.0;1242.45
0078-XZMHT;No;Masculino;False;Si;No;72;Si;Si;DSL;No;Si;Si;Si;Si;Si;Dos años;Si;Transferencia bancaria (automática);2.8;85.15;6316.2
0080-EMYVY;No;Femenino;False;No;No;14;Si;No;DSL;No;Si;No;No;No;No;Un año;No;Tarjeta de crédito (automática);1.69;51.45;727.85
0080-OROZO;No;Femenino;False;No;No;35;Si;No;Fibra óptica;No;No;Si;Si;Si;Si;Un año;Si;Cheque electrónico;3.26;99.25;3532.0
0082-LDZUE;No;Masculino;False;No;No;1;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque por correo;1.46;44.3;44.3
0082-OQIQY;No;Masculino;False;No;No;29;Si;No;Fibra óptica;No;No;No;Si;Si;Si;Mes a mes;Si;Cheque electrónico;3.1;94.2;2607.6
0083-PIVIK;No;Masculino;False;No;No;64;Si;Si;DSL;Si;Si;Si;Si;Si;No;Un año;No;Cheque electrónico;2.67;81.25;5567.55
0089-IIQKO;No;Femenino;False;Si;Si;39;Si;Si;Fibra óptica;No;No;No;Si;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);3.29;99.95;3767.4
0093-EXYQL;No;Femenino;True;No;No;40;Si;No;Fibra óptica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electrónico;3.01;91.55;3673.6
0093-XWZFY;Si;Masculino;False;No;No;40;Si;Si;Fibra óptica;No;Si;Si;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);3.44;104.5;4036.85
0094-OIFMO;Si;Femenino;True;No;No;11;Si;No;Fibra óptica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electrónico;3.12;95.0;1120.3
0096-BXERS;No;Femenino;False;Si;No;6;Si;Si;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electrónico;1.6600000000000001;50.35;314.55
0096-FCPUF;No;Masculino;False;No;No;30;Si;Si;DSL;Si;No;No;No;No;Si;Mes a mes;Si;Cheque por correo;2.12;64.5;1888.45
0098-BOWSO;No;Masculino;False;No;No;27;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque electrónico;0.64;19.4;529.8
0100-DUVFC;No;Masculino;True;Si;No;70;Si;Si;Fibra óptica;No;Si;Si;No;Si;Si;Un año;Si;Cheque electrónico;3.45;104.8;7308.95
0103-CSITQ;No;Femenino;False;Si;No;57;Si;Si;Fibra óptica;No;Si;Si;Si;Si;Si;Un año;Si;Transferencia bancaria (automática);3.6;109.4;6252.7
0104-PPXDV;No;Masculino;False;Si;No;58;Si;No;DSL;No;No;Si;No;No;No;Un año;No;Tarjeta de crédito (automática);1.65;50.3;2878.55
0106-GHRQR;No;Masculino;False;No;No;16;Si;Si;DSL;No;Si;Si;No;No;Si;Mes a mes;Si;Transferencia bancaria (automática);2.35;71.4;1212.1
0106-UGRDO;No;Femenino;False;Si;No;69;Si;Si;Fibra óptica;Si;Si;Si;Si;Si;Si;Dos años;Si;Cheque electrónico;3.81;116.0;8182.85
0107-WESLM;Si;Masculino;False;No;No;1;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque electrónico;0.65;19.85;19.85
0107-YHINA;Si;Masculino;False;No;Si;1;Si;Si;Fibra óptica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electrónico;3.2800000000000002;99.75;99.75
0111-KLBQG;No;Masculino;True;Si;Si;32;Si;No;Fibra óptica;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque por correo;3.09;93.95;2861.45
0112-QAWRZ;No;Masculino;False;Si;Si;16;Si;Si;Fibra óptica;No;No;Si;No;Si;No;Mes a mes;Si;Transferencia bancaria (automática);2.99;90.8;1442.2
0112-QWPNC;Si;Masculino;False;Si;No;49;Si;Si;DSL;Si;No;Si;Si;Si;Si;Un año;No;Cheque electrónico;2.77;84.35;4059.35
0114-IGABW;No;Femenino;False;Si;No;71;No;Sin servicio telefónico;DSL;No;Si;Si;Si;Si;Si;Dos años;No;Transferencia bancaria (automática);1.92;58.25;4145.9
0114-PEGZZ;No;Femenino;False;No;No;33;Si;Si;Fibra óptica;No;Si;Si;No;Si;Si;Mes a mes;No;Cheque electrónico;3.54;107.55;3645.5
0114-RSRRW;No;Femenino;False;Si;No;10;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Transferencia bancaria (automática);0.66;19.95;187.75
0115-TFERT;Si;Masculino;False;Si;No;21;Si;Si;Fibra óptica;No;Si;Si;Si;Si;Si;Mes a mes;Si;Cheque electrónico;3.66;111.2;2317.1
0117-LFRMW;Si;Masculino;False;Si;Si;37;No;Sin servicio telefónico;DSL;Si;Si;Si;No;No;No;Mes a mes;No;Transferencia bancaria (automática);1.32;40.2;1448.8
0118-JPNOY;No;Femenino;True;No;No;26;Si;No;Fibra óptica;Si;No;No;No;Si;No;Mes a mes;Si;Tarjeta de crédito (automática);2.8200000000000003;85.8;2193.65
0120-YZLQA;No;Masculino;False;No;No;71;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Tarjeta de crédito (automática);0.65;19.9;1355.1
0121-SNYRK;No;Masculino;False;No;No;50;No;Sin servicio telefónico;DSL;Si;No;No;Si;No;No;Un año;Si;Cheque por correo;1.16;35.4;1748.9
0122-OAHPZ;Si;Femenino;False;No;No;7;Si;Si;Fibra óptica;No;No;No;No;No;No;Mes a mes;Si;Cheque electrónico;2.43;73.85;511.25
0123-CRBRT;No;Femenino;False;Si;Si;61;Si;Si;DSL;Si;Si;Si;Si;Si;Si;Dos años;No;Cheque por correo;2.9;88.1;5526.75
0125-LZQXK;Si;Masculino;False;No;No;15;Si;No;Fibra óptica;No;No;Si;Si;Si;Si;Mes a mes;Si;Cheque electrónico;3.33;101.35;1553.95
0128-MKWSG;No;Femenino;False;No;Si;26;No;Sin servicio telefónico;DSL;Si;No;No;Si;No;Si;Mes a mes;No;Cheque por correo;1.51;45.8;1147.0
0129-KPTWJ;No;Masculino;False;Si;No;72;Si;No;Fibra óptica;No;No;Si;No;Si;Si;Mes a mes;Si;Cheque electrónico;3.11;94.65;6747.35
0129-QMPDR;No;Masculino;False;Si;Si;44;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Transferencia bancaria (automática);0.67;20.5;865.05
0130-SXOUN;No;Masculino;False;No;No;66;Si;Si;Fibra óptica;No;Si;No;No;No;Si;Mes a mes;No;Tarjeta de crédito (automática);2.94;89.4;5976.9
0133-BMFZO;Si;Femenino;False;No;No;2;Si;No;Fibra óptica;Si;Si;No;Si;No;No;Mes a mes;Si;Cheque electrónico;2.84;86.25;181.65
0134-XWXCE;No;Femenino;True;No;No;44;Si;No;DSL;No;No;Si;Si;Si;Si;Un año;No;Transferencia bancaria (automática);2.46;74.85;3268.05
0135-NMXAP;Si;Femenino;False;No;No;12;Si;Si;Fibra óptica;No;Si;No;No;Si;No;Mes a mes;Si;Transferencia bancaria (automática);2.95;89.75;1052.4
0136-IFMYD;No;Masculino;True;Si;No;69;Si;Si;Fibra óptica;No;Si;Si;Si;Si;Si;Dos años;Si;Cheque electrónico;3.61;109.95;7634.25
0137-OCGAB;Si;Femenino;False;No;No;1;Si;Si;Fibra óptica;No;Si;No;No;No;No;Mes a mes;Si;Cheque por correo;2.64;80.2;80.2
0137-UDEUO;Si;Femenino;False;No;No;3;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque por correo;0.65;19.85;63.75
0139-IVFJG;No;Femenino;False;Si;No;2;Si;No;Fibra óptica;Si;Si;No;No;Si;No;Mes a mes;No;Cheque electrónico;2.9699999999999998;90.35;190.5
0141-YEAYS;No;Femenino;True;No;No;27;Si;Si;Fibra óptica;No;Si;Si;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);2.84;86.45;2401.05
0142-GVYSN;No;Masculino;False;No;No;26;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;Si;Cheque electrónico;0.67;20.3;511.25
0147-ESWWR;No;Femenino;True;Si;No;39;Si;Si;Fibra óptica;No;No;No;Si;Si;Si;Mes a mes;Si;Cheque electrónico;3.33;101.25;3949.15
0148-DCDOS;Si;Masculino;False;No;No;25;Si;Si;Fibra óptica;No;No;No;No;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);3.11;94.7;2362.1
0151-ONTOV;Si;Femenino;False;No;No;1;Si;No;Fibra óptica;No;No;No;No;No;No;Mes a mes;No;Cheque por correo;2.33;70.9;70.9
0154-QYHJU;No;Masculino;False;No;No;29;Si;No;DSL;Si;Si;No;Si;No;No;Un año;Si;Cheque electrónico;1.9300000000000002;58.75;1696.2
0156-FVPTA;Si;Masculino;False;Si;No;22;Si;No;DSL;Si;No;No;Si;No;No;Mes a mes;Si;Cheque electrónico;1.78;54.2;1152.7
0162-RZGMZ;No;Femenino;True;No;No;5;Si;No;DSL;Si;Si;No;Si;No;No;Mes a mes;No;Tarjeta de crédito (automática);1.97;59.9;287.85
0164-APGRB;No;Femenino;False;No;No;72;Si;Si;Fibra óptica;Si;Si;Si;Si;Si;Si;Dos años;Si;Cheque electrónico;3.7800000000000002;114.9;8496.7
0164-XAIRP;No;Femenino;False;No;No;24;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Transferencia bancaria (automática);0.64;19.55;470.2
0168-XZKBB;No;Femenino;False;Si;No;19;Si;Si;Fibra óptica;No;No;No;No;Si;No;Mes a mes;Si;Cheque electrónico;2.86;86.85;1564.4
0174-QRVVY;No;Masculino;False;Si;Si;71;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Tarjeta de crédito (automática);0.8300000000000001;25.35;1847.55
0177-PXBAT;No;Masculino;True;Si;No;33;Si;Si;Fibra óptica;Si;No;Si;Si;Si;Si;Mes a mes;Si;Transferencia bancaria (automática);3.61;109.9;3694.7
0178-CIIKR;No;Femenino;False;No;No;3;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque por correo;0.66;19.95;58.0
0178-SZBHO;No;Masculino;False;Si;Si;47;Si;Si;Fibra óptica;No;Si;No;No;Si;No;Mes a mes;No;Cheque electrónico;2.87;87.2;4017.45
0181-RITDD;No;Masculino;False;Si;Si;62;Si;No;Fibra óptica;Si;Si;Si;Si;Si;Si;Dos años;No;Cheque por correo;3.56;108.15;6825.65
0186-CAERR;No;Masculino;False;No;No;71;Si;Si;Fibra óptica;Si;Si;Si;Si;Si;Si;Un año;Si;Transferencia bancaria (automática);3.8200000000000003;116.3;8309.55
0187-QSXOE;No;Masculino;True;Si;No;7;Si;No;Fibra óptica;No;No;No;No;Si;Si;Mes a mes;Si;Cheque electrónico;2.93;89.0;605.45
0187-WZNAB;No;Femenino;False;Si;Si;27;Si;No;Fibra óptica;Si;No;No;No;No;No;Mes a mes;No;Cheque por correo;2.45;74.4;1972.35
0188-GWFLE;No;Masculino;False;No;No;2;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Cheque por correo;0.66;20.05;33.7
0191-EQUUH;No;Femenino;False;No;Si;25;No;Sin servicio telefónico;DSL;Si;No;No;Si;No;No;Dos años;No;Transferencia bancaria (automática);1.15;35.05;844.45
0191-ZHSKZ;No;Masculino;True;No;No;30;Si;No;DSL;Si;Si;No;No;Si;Si;Mes a mes;Si;Cheque electrónico;2.46;74.75;2111.3
0193-ESZXP;Si;Femenino;True;Si;No;58;Si;No;Fibra óptica;Si;Si;No;Si;Si;Si;Un año;Si;Tarjeta de crédito (automática);3.47;105.5;6205.5
0195-IESCP;Si;Masculino;False;Si;No;10;Si;Si;Fibra óptica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electrónico;2.8;85.25;855.3
0196-JTUQI;No;Femenino;False;No;No;9;Si;Si;Fibra óptica;No;No;No;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);2.47;75.2;633.85
0196-VULGZ;Si;Femenino;True;Si;No;6;Si;Si;Fibra óptica;No;No;No;No;No;Si;Mes a mes;Si;Cheque electrónico;2.77;84.35;474.9
0197-PNKNK;No;Femenino;False;Si;Si;69;Si;Si;Fibra óptica;Si;No;Si;No;No;No;Un año;No;Transferencia bancaria (automática);2.7800000000000002;84.45;5848.6
0201-MIBOL;No;Femenino;True;No;No;66;Si;Si;Fibra óptica;Si;No;No;No;Si;Si;Dos años;Si;Transferencia bancaria (automática);3.37;102.4;6471.85
0201-OAMXR;Si;Femenino;False;No;No;70;Si;Si;Fibra óptica;Si;Si;Si;Si;Si;Si;Un año;No;Tarjeta de crédito (automática);3.8;115.55;8127.6
0203-HHYIJ;Si;Masculino;False;No;No;25;Si;Si;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Transferencia bancaria (automática);0.8300000000000001;25.3;676.35
0206-OYVOC;No;Femenino;False;Si;Si;46;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;Si;Cheque por correo;0.63;19.25;864.2
0206-TBWLC;No;Femenino;False;Si;No;54;Si;Si;Fibra óptica;Si;Si;Si;Si;Si;Si;Un año;Si;Cheque por correo;3.77;114.65;6049.5
0207-MDKNV;Si;Femenino;False;No;No;15;Si;No;Fibra óptica;Si;No;Si;Si;Si;Si;Mes a mes;No;Cheque electrónico;3.46;105.1;1582.75
0208-BPQEJ;No;Femenino;False;Si;Si;12;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Mes a mes;No;Transferencia bancaria (automática);0.64;19.4;198.1
0212-ISBBF;No;Femenino;False;No;No;22;No;Sin servicio telefónico;DSL;No;Si;No;No;Si;Si;Mes a mes;Si;Cheque electrónico;1.6600000000000001;50.35;1098.85
0214-JHPFW;No;Femenino;False;Si;No;70;No;Sin servicio telefónico;DSL;No;Si;Si;Si;Si;Si;Dos años;No;Transferencia bancaria (automática);1.9;57.8;4039.3
0215-BQKGS;No;Masculino;False;No;No;30;Si;No;Fibra óptica;Si;Si;Si;No;No;No;Mes a mes;Si;Tarjeta de crédito (automática);2.77;84.3;2438.6
0218-QNVAS;No;Masculino;False;Si;Si;71;Si;Si;Fibra óptica;No;Si;No;No;Si;Si;Un año;No;Transferencia bancaria (automática);3.31;100.55;7113.75
0219-QAERP;No;Masculino;False;Si;No;30;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;No;Tarjeta de crédito (automática);0.65;19.8;576.65
0219-YTZUE;Si;Masculino;False;Si;Si;4;Si;Si;Fibra óptica;No;Si;Si;No;No;No;Mes a mes;Si;Transferencia bancaria (automática);2.79;84.8;371.9
0220-EBGCE;Si;Masculino;False;No;No;2;Si;No;Fibra óptica;No;No;Si;No;No;Si;Mes a mes;Si;Cheque electrónico;2.8200000000000003;85.85;167.3
0221-NAUXK;No;Masculino;False;No;Si;10;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Un año;Si;Transferencia bancaria (automática);0.66;19.95;219.5
0221-WMXNQ;No;Masculino;True;No;No;4;Si;No;Fibra óptica;Si;No;No;No;No;No;Mes a mes;No;Cheque electrónico;2.48;75.35;273.4
0222-CNVPT;No;Masculino;True;No;No;52;No;Sin servicio telefónico;DSL;Si;No;No;No;Si;Si;Mes a mes;Si;Tarjeta de crédito (automática);1.6;48.8;2555.05
0224-HJAPT;Si;Masculino;False;No;No;5;Si;Si;DSL;No;No;No;No;No;No;Mes a mes;No;Cheque electrónico;1.55;47.15;223.15
0224-NIJLP;No;Masculino;False;Si;Si;8;Si;No;No;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Sin servicio de internet;Dos años;No;Cheque por correo;0.66;20.15;165.5
0224-RLWWD;No;Femenino;True;No;No;2;Si;No;DSL;No;No;No;No;No;No;Mes a mes;Si;Cheque electrónico;1.46;44.3;89.3
0225-ZORZP;No;Masculino;False;No;No;3;Si;No;Fibra óptica;No;Si;No;No;No;Si;Mes a mes;No;Cheque electrónico;2.77;84.3;235.05
0228-MAUWC;No;Masculino;False;No;No;19;Si;Si;DSL;No;No;Si;Si;No;No;Mes a mes;No;Cheque electrónico;1.96;59.55;1144.6
0229-LFJAF;No;Masculino;False;No;No;72;Si;Si;DSL;Si;Si;Si;Si;No;No;Dos años;No;Transferencia bancaria (automática);2.29;69.65;4908.25
0230-UBYPQ;No;Masculino;True;Si;No;63;No;Sin servicio telefónico;DSL;Si;No;No;Si;No;No;Un año;No;Transferencia bancaria (automática);1.19;36.1;2298.9
0230-WEQUW;No;Masculino;False;Si;No;66;No;Sin servicio telefónico;DSL;Si;Si;Si;Si;Si;No;Dos años;Si;Transferencia bancaria (automática);1.8599999999999999;56.6;3789.2
0231-LXVAP;Si;Masculino;False;No;No;1;Si;No;Fibra óptica;No;No;No;Si;No;No;Mes a mes;Si;Cheque electrónico;2.5;75.9;75.9
0233-FTHAV;No;Femenino;False;No;No;60;Si;Si;Fibra óptica;No;No;Si;No;No;No;Un año;Si;Transferencia bancaria (automática);2.6;79.2;4765.0
0234-TEVTT;No;Femenino;False;Si;Si;48;No;Sin servicio telefónico;DSL;Si;No;Si;No;No;Si;Un año;No;Tarjeta de crédito (automática);1.48;45.0;2196.3
