id_cliente;abandono_cliente;genero.masculino;genero.femenino;jubilado;pareja;dependientes;meses_antiguedad;servicio_telefono;ad.multiples_lineas;servicio_internet.no;servicio_internet.fibra_optica;servicio_internet.dsl;ad.seguridad_online;ad.respaldo_online;ad.proteccion_dispositivo;ad.soporte_tecnico;tv.streaming;peliculas.streaming;contrato.dos_años;contrato.un_año;contrato.mes_a_mes;factura_digital;metodo_pago.cheque_por_correo;metodo_pago.cheque_electrónico;metodo_pago.tarjeta_de_crédito_auto;metodo_pago.transferencia_bancaria_auto;cargo.diario;cargo.mensual;cargo.total
0021-IKXGC;False;False;True;True;False;False;1;True;True;False;True;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;2.37;72.1;72.1
0022-TCJCI;True;True;False;True;False;False;45;True;False;False;False;True;True;False;True;False;False;True;False;True;False;False;False;False;True;False;2.06;62.7;2791.5
0023-HGHWL;True;True;False;True;False;False;1;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False;0.8300000000000001;25.1;25.1
0023-UYUPN;False;False;True;True;True;False;50;True;True;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0.8300000000000001;25.2;1306.3
0023-XUOPT;True;False;True;False;True;False;13;True;True;False;True;False;False;True;True;False;True;False;False;False;True;False;False;True;False;False;3.09;94.1;1215.6
0027-KWYKW;False;False;True;False;True;True;23;True;True;False;True;False;False;False;False;False;True;False;False;False;True;True;False;True;False;False;2.75;83.75;1849.95
0030-FNXPP;False;False;True;False;False;False;3;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;0.65;19.85;57.2
0031-PVLZI;True;False;True;False;True;True;4;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;0.67;20.35;76.35
0032-PGELS;True;False;True;False;True;True;1;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;True;1.0;30.5;30.5
0036-IHMOT;False;False;True;False;True;True;55;True;False;False;True;False;False;True;True;True;True;True;False;True;False;True;False;False;False;True;3.41;103.7;5656.75
0040-HALCW;False;True;False;False;True;True;54;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;0.67;20.4;1090.6
0042-JVWOJ;False;True;False;False;False;False;26;True;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;0.64;19.6;471.85
0042-RLHYP;False;False;True;False;True;True;69;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;0.65;19.7;1396.9
0047-ZHDTW;False;False;True;False;False;False;11;True;True;False;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;True;2.6;79.0;929.3
0048-LUMLS;False;True;False;False;True;True;37;True;False;False;True;False;False;False;False;False;True;True;False;True;False;False;False;False;True;False;3.0;91.2;3247.55
0048-PIHNL;False;False;True;False;True;False;49;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;0.67;20.45;900.9
0052-DCKON;False;True;False;False;True;False;66;True;True;False;True;False;True;True;True;True;True;True;False;True;False;False;False;False;False;True;3.81;115.8;7942.15
0052-YNYOT;False;False;True;False;False;False;67;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;0.68;20.55;1343.4
0056-EPFBG;False;True;False;False;True;True;20;False;False;False;False;True;True;False;True;True;False;False;True;False;False;True;False;False;True;False;1.3;39.4;825.4
0057-QBUQH;False;False;True;False;False;True;43;True;True;True;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;0.8300000000000001;25.1;1070.15
0058-EVZWM;False;False;True;False;True;False;55;True;True;False;True;False;True;False;False;False;True;False;False;False;True;True;False;False;False;True;2.95;89.8;4959.6
0060-FUALY;False;False;True;False;True;False;59;True;True;False;True;False;True;True;False;False;True;False;False;False;True;True;False;True;False;False;3.12;94.75;5597.65
0064-SUDOG;False;False;True;False;True;True;12;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;0.67;20.3;224.5
0064-YIJGF;False;True;False;False;True;True;27;True;True;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;2.49;75.75;1929.0
0067-DKWBL;True;True;False;True;False;False;2;True;False;False;False;True;True;False;False;False;False;False;False;False;True;True;False;True;False;False;1.62;49.25;91.1
0068-FIGTF;False;False;True;False;False;False;27;True;False;False;False;True;False;True;True;True;True;True;False;True;False;False;True;False;False;False;2.5700000000000003;78.2;2078.95
0071-NDAFP;False;True;False;False;True;True;25;True;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;0.84;25.5;630.6
0074-HDKDG;False;True;False;False;True;True;25;True;False;False;False;True;True;True;True;False;False;False;False;True;False;True;False;False;False;True;2.03;61.6;1611.0
0076-LVEPS;False;True;False;False;False;True;29;False;False;False;False;True;True;True;True;True;False;False;False;False;True;True;True;False;False;False;1.48;45.0;1242.45
0078-XZMHT;False;True;False;False;True;False;72;True;True;False;False;True;False;True;True;True;True;True;True;False;False;True;False;False;False;True;2.8;85.15;6316.2
0080-EMYVY;False;False;True;False;False;False;14;True;False;False;False;True;False;True;False;False;False;False;False;True;False;False;False;False;True;False;1.69;51.45;727.85
0080-OROZO;False;False;True;False;False;False;35;True;False;False;True;False;False;False;True;True;True;True;False;True;False;True;False;True;False;False;3.26;99.25;3532.0
0082-LDZUE;False;True;False;False;False;False;1;True;False;False;False;True;False;False;False;False;False;False;False;False;True;True;True;False;False;False;1.46;44.3;44.3
0082-OQIQY;False;True;False;False;False;False;29;True;False;False;True;False;False;False;False;True;True;True;False;False;True;True;False;True;False;False;3.1;94.2;2607.6
0083-PIVIK;False;True;False;False;False;False;64;True;True;False;False;True;True;True;True;True;True;False;False;True;False;False;False;True;False;False;2.67;81.25;5567.55
0089-IIQKO;False;False;True;False;True;True;39;True;True;False;True;False;False;False;False;True;True;True;False;False;True;True;False;False;True;False;3.29;99.95;3767.4
0093-EXYQL;False;False;True;True;False;False;40;True;False;False;True;False;False;False;False;False;True;True;False;False;True;True;False;True;False;False;3.01;91.55;3673.6
0093-XWZFY;True;True;False;False;False;False;40;True;True;False;True;False;False;True;True;False;True;True;False;False;True;True;False;False;True;False;3.44;104.5;4036.85
0094-OIFMO;True;False;True;True;False;False;11;True;False;False;True;False;False;True;False;False;True;True;False;False;True;True;False;True;False;False;3.12;95.0;1120.3
0096-BXERS;False;False;True;False;True;False;6;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;1.6600000000000001;50.35;314.55
0096-FCPUF;False;True;False;False;False;False;30;True;True;False;False;True;True;False;False;False;False;True;False;False;True;True;True;False;False;False;2.12;64.5;1888.45
0098-BOWSO;False;True;False;False;False;False;27;True;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;0.64;19.4;529.8
0100-DUVFC;False;True;False;True;True;False;70;True;True;False;True;False;False;True;True;False;True;True;False;True;False;True;False;True;False;False;3.45;104.8;7308.95
0103-CSITQ;False;False;True;False;True;False;57;True;True;False;True;False;False;True;True;True;True;True;False;True;False;True;False;False;False;True;3.6;109.4;6252.7
0104-PPXDV;False;True;False;False;True;False;58;True;False;False;False;True;False;False;True;False;False;False;False;True;False;False;False;False;True;False;1.65;50.3;2878.55
0106-GHRQR;False;True;False;False;False;False;16;True;True;False;False;True;False;True;True;False;False;True;False;False;True;True;False;False;False;True;2.35;71.4;1212.1
0106-UGRDO;False;False;True;False;True;False;69;True;True;False;True;False;True;True;True;True;True;True;True;False;False;True;False;True;False;False;3.81;116.0;8182.85
0107-WESLM;True;True;False;False;False;False;1;True;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;0.65;19.85;19.85
0107-YHINA;True;True;False;False;False;True;1;True;True;False;True;False;False;False;True;False;True;True;False;False;True;True;False;True;False;False;3.2800000000000002;99.75;99.75
0111-KLBQG;False;True;False;True;True;True;32;True;False;False;True;False;False;True;False;False;True;True;False;False;True;True;True;False;False;False;3.09;93.95;2861.45
0112-QAWRZ;False;True;False;False;True;True;16;True;True;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;False;True;2.99;90.8;1442.2
0112-QWPNC;True;True;False;False;True;False;49;True;True;False;False;True;True;False;True;True;True;True;False;True;False;False;False;True;False;False;2.77;84.35;4059.35
0114-IGABW;False;False;True;False;True;False;71;False;False;False;False;True;False;True;True;True;True;True;True;False;False;False;False;False;False;True;1.92;58.25;4145.9
0114-PEGZZ;False;False;True;False;False;False;33;True;True;False;True;False;False;True;True;False;True;True;False;False;True;False;False;True;False;False;3.54;107.55;3645.5
0114-RSRRW;False;False;True;False;True;False;10;True;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;0.66;19.95;187.75
0115-TFERT;True;True;False;False;True;False;21;True;True;False;True;False;False;True;True;True;True;True;False;False;True;True;False;True;False;False;3.66;111.2;2317.1
0117-LFRMW;True;True;False;False;True;True;37;False;False;False;False;True;True;True;True;False;False;False;False;False;True;False;False;False;False;True;1.32;40.2;1448.8
0118-JPNOY;False;False;True;True;False;False;26;True;False;False;True;False;True;False;False;False;True;False;False;False;True;True;False;False;True;False;2.8200000000000003;85.8;2193.65
0120-YZLQA;False;True;False;False;False;False;71;True;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;False;0.65;19.9;1355.1
0121-SNYRK;False;True;False;False;False;False;50;False;False;False;False;True;True;False;False;True;False;False;False;True;False;True;True;False;False;False;1.16;35.4;1748.9
0122-OAHPZ;True;False;True;False;False;False;7;True;True;False;True;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;2.43;73.85;511.25
0123-CRBRT;False;False;True;False;True;True;61;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;True;False;False;False;2.9;88.1;5526.75
0125-LZQXK;True;True;False;False;False;False;15;True;False;False;True;False;False;False;True;True;True;True;False;False;True;True;False;True;False;False;3.33;101.35;1553.95
0128-MKWSG;False;False;True;False;False;True;26;False;False;False;False;True;True;False;False;True;False;True;False;False;True;False;True;False;False;False;1.51;45.8;1147.0
0129-KPTWJ;False;True;False;False;True;False;72;True;False;False;True;False;False;False;True;False;True;True;False;False;True;True;False;True;False;False;3.11;94.65;6747.35
0129-QMPDR;False;True;False;False;True;True;44;True;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;0.67;20.5;865.05
0130-SXOUN;False;True;False;False;False;False;66;True;True;False;True;False;False;True;False;False;False;True;False;False;True;False;False;False;True;False;2.94;89.4;5976.9
0133-BMFZO;True;False;True;False;False;False;2;True;False;False;True;False;True;True;False;True;False;False;False;False;True;True;False;True;False;False;2.84;86.25;181.65
0134-XWXCE;False;False;True;True;False;False;44;True;False;False;False;True;False;False;True;True;True;True;False;True;False;False;False;False;False;True;2.46;74.85;3268.05
0135-NMXAP;True;False;True;False;False;False;12;True;True;False;True;False;False;True;False;False;True;False;False;False;True;True;False;False;False;True;2.95;89.75;1052.4
0136-IFMYD;False;True;False;True;True;False;69;True;True;False;True;False;False;True;True;True;True;True;True;False;False;True;False;True;False;False;3.61;109.95;7634.25
0137-OCGAB;True;False;True;False;False;False;1;True;True;False;True;False;False;True;False;False;False;False;False;False;True;True;True;False;False;False;2.64;80.2;80.2
0137-UDEUO;True;False;True;False;False;False;3;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;0.65;19.85;63.75
0139-IVFJG;False;False;True;False;True;False;2;True;False;False;True;False;True;True;False;False;True;False;False;False;True;False;False;True;False;False;2.9699999999999998;90.35;190.5
0141-YEAYS;False;False;True;True;False;False;27;True;True;False;True;False;False;True;True;False;False;False;False;False;True;True;False;False;False;True;2.84;86.45;2401.05
0142-GVYSN;False;True;False;False;False;False;26;True;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;0.67;20.3;511.25
0147-ESWWR;False;False;True;True;True;False;39;True;True;False;True;False;False;False;False;True;True;True;False;False;True;True;False;True;False;False;3.33;101.25;3949.15
0148-DCDOS;True;True;False;False;False;False;25;True;True;False;True;False;False;False;False;False;True;True;False;False;True;True;False;False;False;True;3.11;94.7;2362.1
0151-ONTOV;True;False;True;False;False;False;1;True;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;2.33;70.9;70.9
0154-QYHJU;False;True;False;False;False;False;29;True;False;False;False;True;True;True;False;True;False;False;False;True;False;True;False;True;False;False;1.9300000000000002;58.75;1696.2
0156-FVPTA;True;True;False;False;True;False;22;True;False;False;False;True;True;False;False;True;False;False;False;False;True;True;False;True;False;False;1.78;54.2;1152.7
0162-RZGMZ;False;False;True;True;False;False;5;True;False;False;False;True;True;True;False;True;False;False;False;False;True;False;False;False;True;False;1.97;59.9;287.85
0164-APGRB;False;False;True;False;False;False;72;True;True;False;True;False;True;True;True;True;True;True;True;False;False;True;False;True;False;False;3.7800000000000002;114.9;8496.7
0164-XAIRP;False;False;True;False;False;False;24;True;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;True;0.64;19.55;470.2
0168-XZKBB;False;False;True;False;True;False;19;True;True;False;True;False;False;False;False;False;True;False;False;False;True;True;False;True;False;False;2.86;86.85;1564.4
0174-QRVVY;False;True;False;False;True;True;71;True;True;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;0.8300000000000001;25.35;1847.55
0177-PXBAT;False;True;False;True;True;False;33;True;True;False;True;False;True;False;True;True;True;True;False;False;True;True;False;False;False;True;3.61;109.9;3694.7
0178-CIIKR;False;False;True;False;False;False;3;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;0.66;19.95;58.0
0178-SZBHO;False;True;False;False;True;True;47;True;True;False;True;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;2.87;87.2;4017.45
0181-RITDD;False;True;False;False;True;True;62;True;False;False;True;False;True;True;True;True;True;True;True;False;False;False;True;False;False;False;3.56;108.15;6825.65
0186-CAERR;False;True;False;False;False;False;71;True;True;False;True;False;True;True;True;True;True;True;False;True;False;True;False;False;False;True;3.8200000000000003;116.3;8309.55
0187-QSXOE;False;True;False;True;True;False;7;True;False;False;True;False;False;False;False;False;True;True;False;False;True;True;False;True;False;False;2.93;89.0;605.45
0187-WZNAB;False;False;True;False;True;True;27;True;False;False;True;False;True;False;False;False;False;False;False;False;True;False;True;False;False;False;2.45;74.4;1972.35
0188-GWFLE;False;True;False;False;False;False;2;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;0.66;20.05;33.7
0191-EQUUH;False;False;True;False;False;True;25;False;False;False;False;True;True;False;False;True;False;False;True;False;False;False;False;False;False;True;1.15;35.05;844.45
0191-ZHSKZ;False;True;False;True;False;False;30;True;False;False;False;True;True;True;False;False;True;True;False;False;True;True;False;True;False;False;2.46;74.75;2111.3
0193-ESZXP;True;False;True;True;True;False;58;True;False;False;True;False;True;True;False;True;True;True;False;True;False;True;False;False;True;False;3.47;105.5;6205.5
0195-IESCP;True;True;False;False;True;False;10;True;True;False;True;False;False;False;False;False;False;True;False;False;True;True;False;True;False;False;2.8;85.25;855.3
0196-JTUQI;False;False;True;False;False;False;9;True;True;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;2.47;75.2;633.85
0196-VULGZ;True;False;True;True;True;False;6;True;True;False;True;False;False;False;False;False;False;True;False;False;True;True;False;True;False;False;2.77;84.35;474.9
0197-PNKNK;False;False;True;False;True;True;69;True;True;False;True;False;True;False;True;False;False;False;False;True;False;False;False;False;False;True;2.7800000000000002;84.45;5848.6
0201-MIBOL;False;False;True;True;False;False;66;True;True;False;True;False;True;False;False;False;True;True;True;False;False;True;False;False;False;True;3.37;102.4;6471.85
0201-OAMXR;True;False;True;False;False;False;70;True;True;False;True;False;True;True;True;True;True;True;False;True;False;False;False;False;True;False;3.8;115.55;8127.6
0203-HHYIJ;True;True;False;False;False;False;25;True;True;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;0.8300000000000001;25.3;676.35
0206-OYVOC;False;False;True;False;True;True;46;True;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;0.63;19.25;864.2
0206-TBWLC;False;False;True;False;True;False;54;True;True;False;True;False;True;True;True;True;True;True;False;True;False;True;True;False;False;False;3.77;114.65;6049.5
0207-MDKNV;True;False;True;False;False;False;15;True;False;False;True;False;True;False;True;True;True;True;False;False;True;False;False;True;False;False;3.46;105.1;1582.75
0208-BPQEJ;False;False;True;False;True;True;12;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;0.64;19.4;198.1
0212-ISBBF;False;False;True;False;False;False;22;False;False;False;False;True;False;True;False;False;True;True;False;False;True;True;False;True;False;False;1.6600000000000001;50.35;1098.85
0214-JHPFW;False;False;True;False;True;False;70;False;False;False;False;True;False;True;True;True;True;True;True;False;False;False;False;False;False;True;1.9;57.8;4039.3
0215-BQKGS;False;True;False;False;False;False;30;True;False;False;True;False;True;True;True;False;False;False;False;False;True;True;False;False;True;False;2.77;84.3;2438.6
0218-QNVAS;False;True;False;False;True;True;71;True;True;False;True;False;False;True;False;False;True;True;False;True;False;False;False;False;False;True;3.31;100.55;7113.75
0219-QAERP;False;True;False;False;True;False;30;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;0.65;19.8;576.65
0219-YTZUE;True;True;False;False;True;True;4;True;True;False;True;False;False;True;True;False;False;False;False;False;True;True;False;False;False;True;2.79;84.8;371.9
0220-EBGCE;True;True;False;False;False;False;2;True;False;False;True;False;False;False;True;False;False;True;False;False;True;True;False;True;False;False;2.8200000000000003;85.85;167.3
0221-NAUXK;False;True;False;False;False;True;10;True;False;True;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;0.66;19.95;219.5
0221-WMXNQ;False;True;False;True;False;False;4;True;False;False;True;False;True;False;False;False;False;False;False;False;True;False;False;True;False;False;2.48;75.35;273.4
0222-CNVPT;False;True;False;True;False;False;52;False;False;False;False;True;True;False;False;False;True;True;False;False;True;True;False;False;True;False;1.6;48.8;2555.05
0224-HJAPT;True;True;False;False;False;False;5;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;False;1.55;47.15;223.15
0224-NIJLP;False;True;False;False;True;True;8;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;0.66;20.15;165.5
0224-RLWWD;False;False;True;True;False;False;2;True;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False;1.46;44.3;89.3
0225-ZORZP;False;True;False;False;False;False;3;True;False;False;True;False;False;True;False;False;False;True;False;False;True;False;False;True;False;False;2.77;84.3;235.05
0228-MAUWC;False;True;False;False;False;False;19;True;True;False;False;True;False;False;True;True;False;False;False;False;True;False;False;True;False;False;1.96;59.55;1144.6
0229-LFJAF;False;True;False;False;False;False;72;True;True;False;False;True;True;True;True;True;False;False;True;False;False;False;False;False;False;True;2.29;69.65;4908.25
0230-UBYPQ;False;True;False;True;True;False;63;False;False;False;False;True;True;False;False;True;False;False;False;True;False;False;False;False;False;True;1.19;36.1;2298.9
0230-WEQUW;False;True;False;False;True;False;66;False;False;False;False;True;True;True;True;True;True;False;True;False;False;True;False;False;False;True;1.8599999999999999;56.6;3789.2
0231-LXVAP;True;True;False;False;False;False;1;True;False;False;True;False;False;False;False;True;False;False;False;False;True;True;False;True;False;False;2.5;75.9;75.9
0233-FTHAV;False;False;True;False;False;False;60;True;True;False;True;False;False;False;True;False;False;False;False;True;False;True;False;False;False;True;2.6;79.2;4765.0
0234-TEVTT;False;False;True;False;True;True;48;False;False;False;False;True;True;False;True;False;False;True;False;True;False;False;False;False;True;False;1.48;45.0;2196.3
0235-KGSLC;True;False;True;False;False;False;1;True;False;False;True;False;False;False;True;False;True;False;False;False;True;True;False;False;True;False;2.81;85.55;85.55
0236-HFWSV;True;True;False;False;False;False;15;True;True;False;True;False;False;False;False;False;True;True;False;False;True;True;False;True;False;False;3.07;93.35;1444.65
0237-YFUTL;False;False;True;False;True;False;50;True;True;False;True;False;True;True;False;True;True;True;False;False;True;True;False;False;False;True;3.6;109.65;5405.8
0238-WHBIQ;False;True;False;False;True;True;72;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;False;True;False;2.95;89.7;6339.3
0239-OXEXL;False;False;True;False;False;False;46;True;True;False;True;False;True;True;False;False;False;False;False;False;True;False;True;False;False;False;2.77;84.25;3847.6
0244-LGNFY;False;False;True;False;True;True;72;True;True;False;False;True;True;True;True;True;True;True;True;False;False;False;False;False;False;True;3.05;92.65;6733.0
0247-SLUJI;False;True;False;False;True;True;1;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;0.65;19.7;19.7
0248-IPDFW;False;False;True;False;False;False;1;True;True;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;False;False;1.65;50.1;50.1
0248-PGHBZ;False;False;True;True;False;False;67;True;False;False;True;False;True;True;False;True;True;False;True;False;False;True;False;False;False;True;3.04;92.45;6140.85
0253-ZTEOB;False;False;True;False;True;True;48;True;True;False;False;True;False;True;False;True;True;True;True;False;False;False;False;True;False;False;2.62;79.65;3870.3
0254-FNMCI;False;False;True;False;False;False;72;True;False;False;True;False;True;True;True;True;True;True;True;False;False;True;False;True;False;False;3.61;109.9;7624.2
0254-KCJGT;False;True;False;False;True;False;52;True;True;False;False;True;True;True;True;True;False;True;False;True;False;True;False;False;True;False;2.68;81.4;4354.45
0254-WWRKD;False;False;True;False;True;True;67;True;False;False;False;True;False;True;False;False;False;False;False;True;False;False;False;False;True;False;1.6600000000000001;50.55;3431.75
0256-LTHVJ;True;False;True;False;True;True;28;True;False;False;True;False;False;False;False;False;False;True;False;False;True;True;False;True;False;False;2.66;81.05;2227.1
0257-KXZGU;False;False;True;False;True;True;32;True;True;False;False;True;False;True;True;False;False;False;False;False;True;False;False;False;False;True;2.05;62.45;2045.55
0257-ZESQC;True;False;True;True;True;False;27;True;False;False;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;True;2.47;75.2;1929.35
0258-NOKBL;False;True;False;False;False;False;3;True;False;False;True;False;False;True;True;False;False;True;False;False;True;False;False;True;False;False;2.9699999999999998;90.4;268.45
0259-GBZSH;True;True;False;False;False;False;2;True;True;False;True;False;False;False;False;False;True;False;False;False;True;True;False;True;False;False;2.8200000000000003;85.65;181.5
0260-ZDLGK;True;False;True;False;False;True;9;True;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;False;False;2.4;72.9;651.4
0263-FJTQO;False;True;False;False;True;True;50;True;True;False;False;True;True;False;False;True;True;False;True;False;False;True;False;False;True;False;2.32;70.5;3486.65
0264-CNITK;False;False;True;False;True;True;71;True;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;0.66;20.1;1389.6
0265-EDXBD;True;True;False;True;True;False;32;True;True;False;True;False;False;False;False;False;False;False;False;False;True;True;False;True;False;False;2.46;74.9;2303.35
0265-PSUAE;False;False;True;False;True;True;16;True;False;False;True;False;True;False;True;False;True;True;False;False;True;False;False;False;False;True;3.31;100.7;1522.7
0266-CLZKZ;False;False;True;False;True;True;67;True;True;False;True;False;False;False;True;True;True;True;True;False;False;True;False;False;False;True;3.47;105.65;6717.9
0266-GMEAO;False;True;False;False;True;True;72;True;True;False;True;False;True;True;True;True;True;True;True;False;False;True;False;False;True;False;3.76;114.3;8058.55
0268-QKIWO;True;False;True;False;False;False;3;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;0.65;19.75;58.85
0269-XFESX;False;True;False;False;True;True;23;True;True;True;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;0.8;24.35;538.5
0270-THENM;False;True;False;False;True;True;72;True;True;False;False;True;True;True;True;True;False;False;True;False;False;False;False;False;False;True;2.3;69.85;5102.35
0274-JKUJR;False;True;False;False;True;True;7;False;False;False;False;True;True;True;True;False;True;True;False;False;True;False;True;False;False;False;1.9300000000000002;58.85;465.7
0274-VVQOQ;False;True;False;True;True;False;65;True;True;False;True;False;False;True;True;False;True;True;False;True;False;True;False;False;False;True;3.39;103.15;6792.45
0277-BKSQP;False;True;False;False;True;True;8;True;False;False;False;True;False;False;False;False;True;False;False;False;True;True;False;True;False;False;1.79;54.4;475.1
0277-ORXQS;False;True;False;False;True;True;66;False;False;False;False;True;False;False;False;True;True;True;True;False;False;False;False;False;False;True;1.6600000000000001;50.55;3364.55
0278-YXOOG;True;True;False;False;False;False;5;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;0.6900000000000001;21.05;113.85
0280-XJGEX;True;True;False;False;False;False;49;True;True;False;True;False;False;True;True;False;True;True;False;False;True;True;False;False;False;True;3.41;103.7;5036.3
